,number_of_siblings,direct_admission,CCA,learning_style,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport
25,2,No,Clubs,Auditory,Female,No,39.0,15.0,9.0,16.0,12.0,81.0,22:00,5:00,public transport
26,1,No,Arts,Visual,Male,Yes,70.0,10.0,14.0,16.0,17.0,95.0,21:00,5:00,public transport
27,1,Yes,None,Auditory,Male,Yes,88.0,17.0,0.0,15.0,6.0,94.0,21:00,5:00,public transport
28,2,No,None,Visual,Female,Yes,69.0,3.0,16.0,15.0,14.0,92.0,21:30,5:30,public transport
29,1,No,Clubs,Visual,Female,No,78.0,18.0,7.0,16.0,8.0,98.0,22:30,6:30,private transport
30,1,No,Arts,Visual,Male,Yes,60.0,16.0,12.0,16.0,9.0,91.0,21:30,5:30,public transport
31,0,Yes,Sports,Visual,Male,No,78.0,11.0,9.0,15.0,5.0,97.0,21:30,5:30,public transport
32,1,No,Clubs,Visual,Male,No,66.0,15.0,7.0,16.0,7.0,96.0,21:30,5:30,public transport
33,2,No,Arts,Auditory,Female,Yes,58.0,17.0,1.0,15.0,9.0,92.0,22:00,6:00,private transport
34,2,No,Sports,Visual,Female,No,45.0,16.0,8.0,15.0,5.0,87.0,21:00,5:00,public transport
35,1,No,Arts,Auditory,Male,No,53.0,21.0,9.0,16.0,10.0,97.0,21:00,5:00,public transport
36,2,No,Arts,Auditory,Male,No,42.0,10.0,12.0,15.0,11.0,55.0,1:00,6:00,private transport
37,1,No,Arts,Visual,Male,Yes,71.0,10.0,15.0,15.0,15.0,91.0,22:30,5:30,public transport
38,1,Yes,None,Visual,Female,Yes,92.0,2.0,19.0,15.0,10.0,95.0,22:30,6:30,private transport
39,1,No,None,Auditory,Male,Yes,62.0,11.0,17.0,16.0,5.0,97.0,21:00,5:00,public transport
40,0,No,Arts,Auditory,Female,Yes,75.0,16.0,7.0,15.0,8.0,97.0,21:00,5:00,public transport
41,0,No,Clubs,Visual,Female,Yes,81.0,8.0,19.0,15.0,10.0,98.0,22:30,6:30,private transport
42,1,Yes,Arts,Visual,Female,Yes,49.0,30.0,0.0,16.0,1.0,64.0,0:30,6:30,private transport
43,0,Yes,None,Visual,Male,No,82.0,12.0,5.0,15.0,5.0,93.0,21:30,5:30,public transport
44,2,No,Sports,Auditory,Female,Yes,79.0,6.0,15.0,16.0,9.0,99.0,21:30,5:30,public transport
45,0,Yes,Sports,Visual,Male,No,77.0,11.0,7.0,15.0,9.0,96.0,22:00,6:00,private transport
46,1,No,Arts,Visual,Male,No,45.0,23.0,7.0,15.0,14.0,94.0,22:30,6:30,private transport
47,1,No,Arts,Auditory,Female,No,48.0,14.0,10.0,15.0,8.0,74.0,22:00,5:00,public transport
48,2,No,Sports,Auditory,Male,Yes,58.0,16.0,4.0,16.0,19.0,91.0,21:00,5:00,public transport
49,0,No,Arts,Auditory,Female,Yes,63.0,12.0,15.0,16.0,8.0,98.0,22:30,6:30,private transport
50,2,Yes,Arts,Visual,Female,No,78.0,6.0,8.0,15.0,7.0,98.0,21:00,5:00,public transport
51,2,No,None,Visual,Female,No,69.0,15.0,7.0,16.0,5.0,96.0,21:30,5:30,public transport
52,2,No,Sports,Auditory,Female,Yes,54.0,10.0,8.0,16.0,16.0,95.0,21:00,5:00,public transport
53,1,Yes,None,Visual,Female,Yes,95.0,1.0,20.0,15.0,9.0,92.0,22:00,6:00,private transport
54,2,No,Sports,Auditory,Female,Yes,60.0,8.0,12.0,15.0,16.0,94.0,23:00,7:00,walk
55,2,No,Arts,Auditory,Female,Yes,40.0,3.0,19.0,15.0,5.0,98.0,22:00,6:00,private transport
56,1,No,Sports,Auditory,Female,Yes,57.0,24.0,6.0,16.0,11.0,95.0,21:30,5:30,public transport
57,1,Yes,None,Auditory,Female,Yes,65.0,17.0,2.0,15.0,16.0,99.0,21:30,5:30,public transport
58,1,Yes,Sports,Auditory,Female,Yes,55.0,13.0,12.0,16.0,8.0,91.0,22:00,6:00,private transport
59,1,Yes,None,Visual,Female,Yes,92.0,21.0,0.0,15.0,9.0,91.0,22:00,6:00,private transport
60,1,No,Clubs,Auditory,Male,No,50.0,15.0,15.0,16.0,5.0,92.0,23:00,7:00,walk
61,0,No,Sports,Auditory,Female,Yes,55.0,8.0,14.0,16.0,7.0,96.0,21:30,5:30,public transport
62,0,No,None,Auditory,Male,Yes,94.0,10.0,15.0,16.0,7.0,92.0,21:00,5:00,public transport
63,1,No,Sports,Auditory,Female,Yes,60.0,3.0,21.0,15.0,17.0,91.0,21:00,5:00,public transport
64,1,Yes,Clubs,Auditory,Female,No,56.0,15.0,10.0,16.0,7.0,91.0,21:00,5:00,public transport
65,1,Yes,None,Auditory,Male,No,76.0,11.0,6.0,16.0,3.0,93.0,22:30,6:30,private transport
66,0,Yes,None,Auditory,Male,No,79.0,13.0,7.0,15.0,6.0,91.0,22:00,6:00,private transport
67,1,No,Clubs,Visual,Male,No,53.0,30.0,0.0,16.0,7.0,96.0,21:00,5:00,public transport
68,1,No,Clubs,Auditory,Male,Yes,48.0,10.0,20.0,15.0,6.0,97.0,22:00,6:00,private transport
69,2,Yes,Sports,Visual,Male,No,72.0,11.0,9.0,15.0,8.0,90.0,22:00,6:00,private transport
70,0,Yes,Sports,Visual,Female,No,49.0,12.0,8.0,16.0,14.0,55.0,1:30,6:30,private transport
71,1,No,Arts,Auditory,Male,Yes,58.0,14.0,8.0,15.0,15.0,98.0,22:30,6:30,private transport
72,2,No,Arts,Auditory,Female,Yes,76.0,20.0,1.0,15.0,8.0,92.0,22:00,6:00,private transport
73,2,Yes,None,Visual,Male,No,83.0,16.0,2.0,15.0,8.0,95.0,21:00,5:00,public transport
74,0,No,Clubs,Visual,Female,Yes,53.0,4.0,16.0,16.0,14.0,97.0,22:00,6:00,private transport
75,0,No,Clubs,Auditory,Male,No,57.0,24.0,3.0,15.0,6.0,96.0,22:00,6:00,private transport
76,0,Yes,None,Visual,Female,Yes,70.0,1.0,15.0,15.0,10.0,96.0,22:30,6:30,private transport
77,1,No,Arts,Auditory,Female,Yes,52.0,21.0,3.0,16.0,8.0,95.0,22:00,6:00,private transport
78,1,No,Arts,Visual,Female,No,50.0,16.0,14.0,16.0,18.0,95.0,21:30,5:30,public transport
79,1,No,Sports,Auditory,Female,No,48.0,7.0,18.0,15.0,14.0,92.0,23:00,7:00,walk
80,0,Yes,None,Visual,Male,No,82.0,15.0,2.0,15.0,9.0,93.0,23:00,7:00,walk
81,0,No,Clubs,Auditory,Female,Yes,66.0,16.0,11.0,16.0,17.0,92.0,21:00,5:00,public transport
82,2,No,Arts,Auditory,Male,Yes,71.0,19.0,0.0,16.0,8.0,92.0,22:00,6:00,private transport
83,2,No,None,Visual,Male,Yes,60.0,22.0,0.0,15.0,15.0,91.0,23:00,7:00,walk
84,1,Yes,None,Visual,Female,Yes,93.0,3.0,18.0,16.0,5.0,96.0,21:30,5:30,public transport
85,0,No,None,Auditory,Male,Yes,87.0,19.0,3.0,16.0,7.0,96.0,21:30,5:30,public transport
86,0,No,None,Auditory,Female,No,88.0,7.0,15.0,16.0,7.0,97.0,23:00,7:00,walk
87,1,No,Sports,Auditory,Male,Yes,63.0,18.0,4.0,15.0,13.0,100.0,23:00,7:00,walk
88,0,No,None,Visual,Male,No,79.0,13.0,14.0,16.0,5.0,94.0,22:00,6:00,private transport
89,1,No,Clubs,Auditory,Male,Yes,56.0,12.0,15.0,16.0,8.0,99.0,22:30,6:30,private transport
90,0,No,None,Visual,Male,Yes,94.0,20.0,3.0,15.0,9.0,95.0,22:00,6:00,private transport
91,1,No,Clubs,Auditory,Female,No,47.0,20.0,5.0,15.0,9.0,61.0,2:30,6:30,private transport
92,1,No,Sports,Auditory,Female,No,54.0,3.0,27.0,15.0,15.0,93.0,21:30,5:30,public transport
93,1,No,Clubs,Auditory,Female,Yes,64.0,7.0,21.0,16.0,6.0,99.0,22:00,6:00,private transport
94,2,No,Clubs,Auditory,Female,Yes,51.0,15.0,3.0,15.0,6.0,95.0,23:00,7:00,walk
95,1,No,Arts,Auditory,Female,No,55.0,14.0,15.0,16.0,7.0,93.0,23:00,7:00,walk
96,1,No,Clubs,Auditory,Male,Yes,74.0,18.0,10.0,15.0,9.0,96.0,21:00,5:00,public transport
97,2,No,Sports,Auditory,Female,Yes,46.0,10.0,14.0,15.0,9.0,81.0,22:30,5:30,public transport
98,1,No,Sports,Visual,Male,Yes,53.0,30.0,0.0,15.0,10.0,91.0,22:30,6:30,private transport
99,0,No,None,Visual,Male,No,65.0,22.0,5.0,15.0,19.0,99.0,21:00,5:00,public transport
100,2,No,Clubs,Auditory,Female,No,52.0,15.0,4.0,16.0,15.0,95.0,23:00,7:00,walk
101,1,No,Sports,Visual,Female,No,46.0,21.0,9.0,15.0,11.0,77.0,22:00,5:00,public transport
102,0,Yes,Sports,Visual,Female,No,83.0,14.0,2.0,16.0,7.0,95.0,21:00,5:00,public transport
103,2,No,Sports,Auditory,Female,No,46.0,7.0,16.0,15.0,4.0,52.0,0:00,5:00,public transport
104,1,No,Clubs,Auditory,Female,Yes,52.0,22.0,7.0,15.0,17.0,93.0,23:00,7:00,walk
105,0,Yes,Clubs,Auditory,Female,No,72.0,17.0,2.0,16.0,10.0,97.0,21:30,5:30,public transport
106,1,No,Arts,Auditory,Male,Yes,66.0,18.0,10.0,15.0,14.0,97.0,21:00,5:00,public transport
107,0,No,Sports,Auditory,Female,No,69.0,3.0,18.0,15.0,18.0,99.0,21:00,5:00,public transport
108,1,Yes,None,Auditory,Male,Yes,78.0,18.0,3.0,16.0,9.0,95.0,22:00,6:00,private transport
109,0,No,None,Visual,Male,Yes,84.0,14.0,9.0,15.0,9.0,98.0,22:30,6:30,private transport
110,1,No,Arts,Auditory,Female,No,63.0,0.0,27.0,15.0,18.0,93.0,22:30,6:30,private transport
111,0,No,Sports,Visual,Female,No,73.0,5.0,23.0,16.0,18.0,99.0,21:00,5:00,public transport
112,0,Yes,None,Visual,Male,Yes,85.0,15.0,1.0,16.0,9.0,96.0,22:00,6:00,private transport
113,1,No,Arts,Auditory,Female,Yes,71.0,21.0,1.0,16.0,9.0,97.0,22:30,6:30,private transport
114,1,No,Sports,Visual,Female,Yes,46.0,1.0,29.0,15.0,13.0,90.0,22:00,6:00,private transport
115,2,No,Sports,Auditory,Female,Yes,62.0,10.0,12.0,16.0,9.0,92.0,22:30,6:30,private transport
116,2,No,Sports,Auditory,Female,Yes,76.0,11.0,10.0,16.0,10.0,94.0,23:00,7:00,walk
117,1,No,Sports,Visual,Male,Yes,65.0,12.0,16.0,16.0,19.0,94.0,22:30,6:30,private transport
118,1,Yes,None,Visual,Male,Yes,91.0,14.0,7.0,16.0,9.0,91.0,0:00,7:00,walk
119,1,No,Sports,Auditory,Male,No,38.0,19.0,9.0,16.0,3.0,51.0,1:00,6:00,private transport
120,0,No,Sports,Visual,Male,Yes,96.0,12.0,11.0,15.0,8.0,98.0,22:00,6:00,private transport
121,0,No,Clubs,Auditory,Male,Yes,93.0,21.0,4.0,16.0,6.0,91.0,21:30,5:30,public transport
122,2,No,Sports,Auditory,Female,Yes,55.0,1.0,17.0,16.0,12.0,92.0,21:30,5:30,public transport
123,1,No,Sports,Auditory,Male,Yes,58.0,19.0,3.0,16.0,17.0,94.0,22:00,6:00,private transport
124,1,No,Sports,Auditory,Female,Yes,64.0,16.0,11.0,15.0,10.0,92.0,21:30,5:30,public transport
125,0,No,Sports,Auditory,Female,No,65.0,11.0,10.0,15.0,14.0,95.0,22:30,6:30,private transport
126,0,No,Clubs,Visual,Male,Yes,89.0,14.0,8.0,15.0,7.0,99.0,21:30,5:30,public transport
127,0,No,Clubs,Visual,Female,No,55.0,9.0,13.0,16.0,13.0,98.0,22:00,6:00,private transport
128,1,No,Sports,Visual,Female,No,58.0,8.0,23.0,16.0,9.0,97.0,21:00,5:00,public transport
129,1,No,Arts,Auditory,Female,No,53.0,13.0,12.0,16.0,18.0,95.0,22:30,6:30,private transport
130,1,No,Clubs,Visual,Female,No,47.0,19.0,11.0,16.0,10.0,91.0,21:00,5:00,public transport
131,2,No,None,Visual,Female,Yes,72.0,6.0,13.0,15.0,10.0,99.0,22:00,6:00,private transport
132,0,No,None,Auditory,Female,No,68.0,19.0,8.0,15.0,19.0,95.0,22:30,6:30,private transport
133,1,No,None,Auditory,Female,Yes,61.0,22.0,6.0,15.0,7.0,91.0,22:30,6:30,private transport
134,1,Yes,Sports,Auditory,Female,Yes,72.0,9.0,11.0,15.0,11.0,94.0,22:30,6:30,private transport
135,1,No,Clubs,Visual,Male,No,51.0,23.0,7.0,15.0,7.0,100.0,22:30,6:30,private transport
136,2,No,Arts,Visual,Female,No,41.0,3.0,19.0,16.0,8.0,96.0,22:00,6:00,private transport
137,0,No,Sports,Auditory,Female,No,53.0,1.0,20.0,16.0,18.0,97.0,22:00,6:00,private transport
138,1,No,Clubs,Visual,Male,No,53.0,15.0,11.0,15.0,18.0,100.0,22:00,6:00,private transport
139,0,No,Clubs,Visual,Female,No,76.0,0.0,27.0,15.0,8.0,96.0,21:30,5:30,public transport
140,2,No,Sports,Auditory,Male,No,59.0,18.0,2.0,15.0,16.0,94.0,22:30,6:30,private transport
141,1,No,Clubs,Visual,Female,Yes,59.0,25.0,3.0,15.0,15.0,94.0,22:30,6:30,private transport
142,1,Yes,Sports,Visual,Female,No,49.0,27.0,3.0,16.0,4.0,55.0,0:30,5:30,public transport
143,1,Yes,Sports,Auditory,Male,No,49.0,12.0,12.0,16.0,7.0,93.0,23:00,7:00,walk
144,2,No,Arts,Auditory,Male,Yes,56.0,20.0,0.0,16.0,11.0,93.0,21:30,5:30,public transport
145,0,No,None,Auditory,Female,Yes,72.0,0.0,23.0,16.0,12.0,94.0,21:00,5:00,public transport
146,1,Yes,None,Visual,Female,No,91.0,9.0,12.0,16.0,5.0,97.0,21:30,5:30,public transport
147,1,No,Clubs,Auditory,Male,No,61.0,17.0,11.0,15.0,8.0,100.0,21:00,5:00,public transport
148,2,Yes,Arts,Visual,Male,No,54.0,11.0,5.0,15.0,5.0,99.0,21:30,5:30,public transport
149,0,No,Clubs,Visual,Male,No,72.0,13.0,15.0,16.0,10.0,95.0,21:30,5:30,public transport
150,1,Yes,Clubs,Auditory,Female,Yes,75.0,7.0,10.0,16.0,6.0,92.0,22:30,6:30,private transport
151,1,Yes,None,Visual,Female,No,61.0,21.0,6.0,16.0,7.0,96.0,22:30,6:30,private transport
152,0,No,Arts,Auditory,Male,Yes,77.0,12.0,9.0,16.0,6.0,93.0,22:00,6:00,private transport
153,1,Yes,Arts,Auditory,Female,No,49.0,19.0,6.0,15.0,10.0,91.0,22:00,6:00,private transport
154,2,No,Sports,Auditory,Female,No,41.0,15.0,7.0,15.0,1.0,98.0,21:00,5:00,public transport
155,2,No,Arts,Auditory,Female,Yes,49.0,15.0,9.0,15.0,6.0,56.0,1:30,5:30,public transport
156,2,No,Clubs,Visual,Female,No,72.0,10.0,13.0,15.0,7.0,96.0,22:00,6:00,private transport
157,1,No,Clubs,Auditory,Female,Yes,58.0,4.0,20.0,15.0,16.0,100.0,22:00,6:00,private transport
158,0,No,Sports,Auditory,Female,No,77.0,5.0,17.0,15.0,6.0,90.0,21:00,5:00,public transport
159,2,No,Sports,Visual,Male,No,70.0,20.0,3.0,16.0,14.0,91.0,23:00,7:00,walk
160,1,No,None,Visual,Male,No,55.0,16.0,10.0,16.0,13.0,99.0,21:00,5:00,public transport
161,0,Yes,None,Visual,Female,No,81.0,3.0,15.0,15.0,7.0,90.0,23:00,6:00,private transport
162,1,No,Clubs,Auditory,Female,No,47.0,22.0,8.0,15.0,5.0,96.0,21:30,5:30,public transport
163,2,Yes,None,Visual,Male,Yes,76.0,14.0,0.0,16.0,6.0,91.0,21:00,5:00,public transport
164,0,Yes,Sports,Visual,Male,No,73.0,11.0,7.0,16.0,6.0,94.0,21:30,5:30,public transport
165,2,No,Clubs,Auditory,Female,No,42.0,22.0,0.0,16.0,5.0,59.0,2:00,7:00,walk
166,1,No,Sports,Auditory,Male,No,62.0,27.0,0.0,16.0,13.0,99.0,22:00,6:00,private transport
167,2,No,Sports,Auditory,Male,Yes,71.0,10.0,11.0,16.0,15.0,93.0,22:00,6:00,private transport
168,0,Yes,Sports,Visual,Female,Yes,79.0,11.0,4.0,15.0,7.0,93.0,21:30,5:30,public transport
169,1,Yes,Arts,Visual,Female,No,79.0,10.0,7.0,15.0,6.0,91.0,21:30,5:30,public transport
170,2,No,Clubs,Auditory,Female,Yes,71.0,18.0,1.0,16.0,11.0,97.0,22:30,6:30,private transport
171,1,No,Clubs,Auditory,Female,No,62.0,23.0,5.0,16.0,5.0,92.0,23:00,7:00,walk
172,0,No,Arts,Visual,Female,Yes,81.0,9.0,15.0,16.0,6.0,95.0,23:00,7:00,walk
173,1,Yes,Arts,Visual,Male,Yes,85.0,22.0,0.0,15.0,8.0,100.0,21:30,5:30,public transport
174,2,Yes,None,Visual,Male,No,81.0,16.0,2.0,15.0,8.0,91.0,23:00,7:00,walk
175,0,Yes,None,Visual,Female,Yes,82.0,13.0,2.0,16.0,8.0,99.0,22:00,6:00,private transport
176,2,No,Clubs,Visual,Female,Yes,72.0,18.0,1.0,16.0,5.0,95.0,21:00,5:00,public transport
177,2,No,Sports,Auditory,Male,Yes,60.0,11.0,11.0,16.0,18.0,98.0,22:00,6:00,private transport
178,1,No,Clubs,Visual,Male,No,46.0,18.0,12.0,16.0,5.0,67.0,23:30,5:30,public transport
179,0,No,Arts,Visual,Female,Yes,55.0,10.0,12.0,16.0,18.0,97.0,21:00,5:00,public transport
180,1,No,Arts,Visual,Female,No,54.0,9.0,21.0,15.0,15.0,91.0,21:30,5:30,public transport
181,1,No,Sports,Visual,Female,Yes,57.0,0.0,30.0,16.0,10.0,99.0,21:30,5:30,public transport
182,0,Yes,Clubs,Auditory,Male,No,76.0,12.0,3.0,15.0,6.0,92.0,23:00,7:00,walk
183,1,Yes,None,Auditory,Male,Yes,80.0,16.0,6.0,15.0,8.0,94.0,21:00,5:00,public transport
184,2,No,Clubs,Auditory,Male,Yes,55.0,10.0,8.0,15.0,17.0,93.0,22:00,6:00,private transport
185,2,No,Sports,Auditory,Male,No,40.0,19.0,4.0,15.0,2.0,89.0,21:30,5:30,public transport
186,2,Yes,Arts,Auditory,Male,No,45.0,16.0,8.0,16.0,6.0,95.0,21:30,5:30,public transport
187,0,No,Clubs,Visual,Male,No,79.0,26.0,1.0,15.0,8.0,94.0,22:00,6:00,private transport
188,1,Yes,Arts,Auditory,Female,No,48.0,23.0,2.0,15.0,6.0,97.0,21:30,5:30,public transport
189,1,Yes,Sports,Visual,Female,No,55.0,12.0,15.0,15.0,8.0,91.0,21:30,5:30,public transport
190,1,No,Clubs,Visual,Female,No,58.0,13.0,13.0,16.0,10.0,96.0,23:00,7:00,walk
191,0,No,None,Auditory,Female,No,62.0,14.0,7.0,15.0,15.0,97.0,23:00,7:00,walk
192,1,No,Sports,Auditory,Female,Yes,67.0,12.0,16.0,15.0,8.0,99.0,21:30,5:30,public transport
193,0,No,None,Auditory,Male,Yes,71.0,11.0,9.0,15.0,9.0,91.0,21:30,5:30,public transport
194,2,No,Clubs,Visual,Male,Yes,78.0,17.0,2.0,16.0,8.0,96.0,22:30,6:30,private transport
195,0,No,Sports,Visual,Female,Yes,68.0,21.0,1.0,16.0,12.0,94.0,21:00,5:00,public transport
196,1,Yes,None,Visual,Female,No,57.0,11.0,16.0,15.0,7.0,98.0,22:30,6:30,private transport
197,1,Yes,None,Visual,Male,No,76.0,11.0,6.0,16.0,10.0,97.0,21:00,5:00,public transport
198,2,No,None,Visual,Male,No,69.0,17.0,5.0,15.0,8.0,100.0,21:00,5:00,public transport
199,1,No,Sports,Visual,Male,No,47.0,24.0,6.0,15.0,8.0,98.0,21:00,5:00,public transport
200,1,Yes,Clubs,Visual,Female,No,52.0,8.0,19.0,16.0,5.0,92.0,22:00,6:00,private transport
201,1,No,None,Auditory,Female,No,50.0,25.0,4.0,16.0,7.0,73.0,23:30,5:30,public transport
202,2,No,Clubs,Visual,Male,No,53.0,15.0,4.0,15.0,12.0,93.0,22:30,6:30,private transport
203,2,No,Sports,Visual,Male,No,61.0,12.0,11.0,15.0,12.0,97.0,22:30,6:30,private transport
204,0,No,Clubs,Auditory,Male,No,70.0,20.0,0.0,15.0,18.0,99.0,23:00,7:00,walk
205,0,No,Arts,Auditory,Female,Yes,68.0,13.0,9.0,15.0,19.0,95.0,22:30,6:30,private transport
206,2,No,Clubs,Auditory,Male,Yes,70.0,19.0,2.0,15.0,14.0,96.0,21:00,5:00,public transport
207,1,No,None,Visual,Male,Yes,72.0,24.0,0.0,16.0,12.0,97.0,22:00,6:00,private transport
208,2,Yes,Arts,Visual,Male,Yes,72.0,10.0,5.0,16.0,8.0,96.0,22:00,6:00,private transport
209,1,Yes,Arts,Visual,Female,No,57.0,14.0,13.0,16.0,19.0,100.0,21:30,5:30,public transport
210,1,No,Clubs,Visual,Female,No,48.0,4.0,26.0,16.0,7.0,85.0,21:00,5:00,public transport
211,0,No,None,Visual,Male,Yes,75.0,25.0,3.0,15.0,7.0,98.0,21:00,5:00,public transport
212,1,No,None,Auditory,Male,Yes,60.0,19.0,9.0,16.0,14.0,100.0,22:00,6:00,private transport
213,0,No,Clubs,Auditory,Male,Yes,70.0,20.0,2.0,16.0,16.0,95.0,21:00,5:00,public transport
214,2,No,Arts,Auditory,Male,Yes,58.0,21.0,1.0,15.0,19.0,96.0,21:30,5:30,public transport
215,0,No,None,Visual,Male,Yes,61.0,12.0,8.0,16.0,19.0,93.0,21:00,5:00,public transport
216,1,No,Sports,Visual,Male,Yes,65.0,20.0,8.0,16.0,6.0,96.0,22:00,6:00,private transport
217,0,Yes,Sports,Visual,Female,No,74.0,15.0,0.0,15.0,5.0,90.0,21:00,5:00,public transport
218,1,Yes,None,Auditory,Male,No,78.0,13.0,8.0,15.0,9.0,96.0,22:00,6:00,private transport
219,0,Yes,None,Visual,Male,No,74.0,14.0,4.0,15.0,12.0,94.0,21:00,5:00,public transport
220,1,No,Arts,Auditory,Male,Yes,64.0,25.0,2.0,16.0,11.0,95.0,21:30,5:30,public transport
221,2,No,Arts,Auditory,Female,Yes,50.0,14.0,4.0,16.0,12.0,96.0,23:00,7:00,walk
222,1,No,Clubs,Auditory,Male,No,49.0,17.0,7.0,15.0,3.0,59.0,0:00,5:00,public transport
223,2,Yes,Arts,Visual,Male,Yes,72.0,15.0,0.0,15.0,17.0,92.0,22:30,6:30,private transport
224,2,Yes,None,Visual,Female,Yes,82.0,10.0,8.0,15.0,9.0,97.0,21:30,5:30,public transport
225,1,No,Arts,Visual,Female,Yes,46.0,25.0,5.0,15.0,7.0,99.0,21:30,5:30,public transport
226,0,No,Clubs,Auditory,Female,No,76.0,6.0,15.0,15.0,9.0,92.0,23:00,7:00,walk
227,2,No,Arts,Auditory,Male,No,44.0,10.0,13.0,16.0,13.0,82.0,23:00,7:00,walk
228,0,No,Clubs,Visual,Male,No,79.0,26.0,1.0,16.0,7.0,99.0,23:00,7:00,walk
229,0,No,Clubs,Visual,Male,Yes,64.0,22.0,0.0,15.0,9.0,99.0,23:00,7:00,walk
230,0,No,Clubs,Auditory,Male,No,65.0,25.0,2.0,15.0,17.0,99.0,23:00,7:00,walk
231,1,No,Arts,Auditory,Female,Yes,57.0,15.0,12.0,16.0,18.0,99.0,22:00,6:00,private transport
232,2,Yes,None,Visual,Male,No,86.0,13.0,5.0,15.0,9.0,96.0,21:30,5:30,public transport
233,1,Yes,None,Visual,Male,Yes,74.0,10.0,7.0,15.0,13.0,94.0,22:00,6:00,private transport
234,0,No,Sports,Visual,Male,No,72.0,27.0,1.0,16.0,12.0,97.0,23:00,7:00,walk
235,0,Yes,Sports,Visual,Female,Yes,77.0,11.0,4.0,16.0,6.0,96.0,22:30,6:30,private transport
236,1,No,Clubs,Auditory,Female,No,49.0,8.0,17.0,16.0,7.0,94.0,22:30,6:30,private transport
237,1,No,Clubs,Visual,Female,No,49.0,10.0,20.0,16.0,5.0,100.0,23:00,7:00,walk
238,1,No,Arts,Visual,Male,No,47.0,15.0,15.0,16.0,11.0,78.0,23:30,6:30,private transport
239,1,Yes,Arts,Auditory,Male,Yes,76.0,13.0,4.0,15.0,20.0,90.0,21:00,5:00,public transport
240,1,Yes,None,Auditory,Female,Yes,83.0,14.0,3.0,15.0,6.0,94.0,22:00,6:00,private transport
241,0,No,Arts,Auditory,Female,No,64.0,13.0,14.0,15.0,15.0,97.0,22:00,6:00,private transport
242,2,No,Clubs,Auditory,Female,No,69.0,8.0,13.0,16.0,17.0,93.0,23:00,7:00,walk
243,1,No,Clubs,Auditory,Male,No,51.0,16.0,14.0,16.0,8.0,96.0,22:00,6:00,private transport
